FirstName                                          LastName                                           JobTitle                                           rate                  AverageRate           MaximumRate           DiffFromAvg           PercentOfMaxRate
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- --------------------- --------------------- --------------------- --------------------- ---------------------
Syed                                               Abbas                                              Pacific Sales Manager                              48.101                17.7588               125.50                30.3422               38.32
Kim                                                Abercrombie                                        Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Hazem                                              Abolrous                                           Quality Assurance Manager                          28.8462               17.7588               125.50                11.0874               22.98
Pilar                                              Ackerman                                           Shipping and Receiving Supervisor                  19.2308               17.7588               125.50                1.472                 15.32
Jay                                                Adams                                              Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
François                                           Ajenstat                                           Database Administrator                             38.4615               17.7588               125.50                20.7027               30.64
Amy                                                Alberts                                            European Sales Manager                             48.101                17.7588               125.50                30.3422               38.32
Greg                                               Alderson                                           Production Technician - WC45                       10.00                 17.7588               125.50                -7.7588               7.96
Sean                                               Alexander                                          Quality Assurance Technician                       10.5769               17.7588               125.50                -7.1819               8.42
Gary                                               Altman                                             Facilities Manager                                 24.0385               17.7588               125.50                6.2797                19.15
Nancy                                              Anderson                                           Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Pamela                                             Ansman-Wolfe                                       Sales Representative                               23.0769               17.7588               125.50                5.3181                18.38
Zainal                                             Arifin                                             Document Control Manager                           17.7885               17.7588               125.50                0.0297                14.17
Dan                                                Bacon                                              Application Specialist                             27.4038               17.7588               125.50                9.645                 21.83
Bryan                                              Baker                                              Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Mary                                               Baker                                              Production Technician - WC10                       13.45                 17.7588               125.50                -4.3088               10.71
Angela                                             Barbariol                                          Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
David                                              Barber                                             Assistant to the Chief Financial Officer           13.4615               17.7588               125.50                -4.2973               10.72
Paula                                              Barreto de Mattos                                  Human Resources Manager                            27.1394               17.7588               125.50                9.3806                21.62
Wanida                                             Benshoof                                           Marketing Assistant                                13.4615               17.7588               125.50                -4.2973               10.72
Karen                                              Berg                                               Application Specialist                             27.4038               17.7588               125.50                9.645                 21.83
Karen                                              Berge                                              Document Control Assistant                         10.25                 17.7588               125.50                -7.5088               8.16
Andreas                                            Berglund                                           Quality Assurance Technician                       10.5769               17.7588               125.50                -7.1819               8.42
Matthias                                           Berndt                                             Shipping and Receiving Clerk                       9.50                  17.7588               125.50                -8.2588               7.56
Jo                                                 Berry                                              Janitor                                            9.25                  17.7588               125.50                -8.5088               7.37
Jimmy                                              Bischoff                                           Stocker                                            9.00                  17.7588               125.50                -8.7588               7.17
Michael                                            Blythe                                             Sales Representative                               23.0769               17.7588               125.50                5.3181                18.38
David                                              Bradley                                            Marketing Manager                                  24.00                 17.7588               125.50                6.2412                19.12
David                                              Bradley                                            Marketing Manager                                  28.75                 17.7588               125.50                10.9912               22.90
David                                              Bradley                                            Marketing Manager                                  37.50                 17.7588               125.50                19.7412               29.88
Alan                                               Brewer                                             Scheduling Assistant                               16.00                 17.7588               125.50                -1.7588               12.74
Eric                                               Brown                                              Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Jo                                                 Brown                                              Production Supervisor - WC60                       25.00                 17.7588               125.50                7.2412                19.92
Kevin                                              Brown                                              Marketing Assistant                                13.4615               17.7588               125.50                -4.2973               10.72
Janaina                                            Bueno                                              Application Specialist                             27.4038               17.7588               125.50                9.645                 21.83
David                                              Campbell                                           Sales Representative                               23.0769               17.7588               125.50                5.3181                18.38
John                                               Campbell                                           Production Supervisor - WC60                       25.00                 17.7588               125.50                7.2412                19.92
Jun                                                Cao                                                Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Rob                                                Caron                                              Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Jillian                                            Carson                                             Sales Representative                               23.0769               17.7588               125.50                5.3181                18.38
Andrew                                             Cencini                                            Production Technician - WC45                       10.00                 17.7588               125.50                -7.7588               7.96
Baris                                              Cetinok                                            Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Sean                                               Chai                                               Document Control Assistant                         10.25                 17.7588               125.50                -7.5088               8.16
Sootha                                             Charncherngkha                                     Quality Assurance Technician                       10.5769               17.7588               125.50                -7.1819               8.42
Hao                                                Chen                                               Human Resources Administrative Assistant           13.9423               17.7588               125.50                -3.8165               11.10
John                                               Chen                                               Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Alice                                              Ciccu                                              Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
